id,czech,part_of_speech,gender_aspect,genitive,level,category,russian,ukrainian,english,note,image_query,image_url,example_1_cs,example_1_ru,example_1_uk,example_2_cs,example_2_ru,example_2_uk
1294,význam,сущ.,м.р.,významu,B1,Абстрактные понятия,значение,значення,meaning; significance,,,,Nechápu význam toho slova.,Я не понимаю значение этого слова.,Я не розумію значення цього слова.,Má to velký význam.,Это имеет большое значение.,Це має велике значення.
1295,vztah,сущ.,м.р.,vztahu,B1,Абстрактные понятия,отношение; связь,стосунок; зв'язок,relationship,,relationship,https://loremflickr.com/640/480/relationship,Máme dobrý vztah.,У нас хорошие отношения.,У нас гарні стосунки.,Je to ve vztahu k práci.,Это касается работы.,Це стосується роботи.
1296,zdroj,сущ.,м.р.,zdroje,B1,Абстрактные понятия,источник,джерело,source,,,,Je to spolehlivý zdroj.,Это надёжный источник.,Це надійне джерело.,Nemám jiný zdroj příjmu.,У меня нет другого источника дохода.,У мене немає іншого джерела доходу.
1297,způsob,сущ.,м.р.,způsobu,B1,Абстрактные понятия,способ,спосіб,way; method,,,,Je to nejlepší způsob.,Это лучший способ.,Це найкращий спосіб.,Jakým způsobem to uděláme?,Каким способом мы это сделаем?,У який спосіб ми це зробимо?
1298,zvyk,сущ.,м.р.,zvyku,B1,Абстрактные понятия,привычка; обычай,звичка; звичай,habit; custom,,,,Je to můj zvyk.,Это моя привычка.,Це моя звичка.,Je to místní zvyk.,Это местный обычай.,Це місцевий звичай.
1299,chybět,гл.,несов.,,B1,Базовые глаголы,не хватать; отсутствовать,бракувати,to be missing; to lack,,,,Chybí mi rodina.,Я скучаю по семье.,Мені бракує родини.,Chybí tu jeden dokument.,Здесь не хватает одного документа.,Тут бракує одного документа.
1300,dohodnout se,гл.,сов.,,B1,Базовые глаголы,договориться,домовитися,to agree; to arrange,,,,Dohodli jsme se na ceně.,Мы договорились о цене.,Ми домовилися про ціну.,Musíme se dohodnout.,Нам нужно договориться.,Нам треба домовитися.
1301,dokázat,гл.,сов.,,B1,Базовые глаголы,суметь; доказать,зуміти; довести,to manage; to prove,,,,Dokázal jsem to sám.,Я смог сделать это сам.,Я зміг зробити це сам.,Dokážeš to!,У тебя получится!,У тебе вийде!
1302,dorazit,гл.,сов.,,B1,Базовые глаголы,добраться; прибыть,дістатися; прибути,to arrive,,,,Dorazil jsem včas.,Я добрался вовремя.,Я дістався вчасно.,Kdy dorazíš?,Когда ты доберёшься?,Коли ти дістанешся?
1303,dovolit,гл.,сов.,,B1,Базовые глаголы,разрешить,дозволити,to allow,,,,Dovolte mi to vysvětlit.,Позвольте мне объяснить.,Дозвольте мені пояснити.,Rodiče mi to nedovolili.,Родители мне это не разрешили.,Батьки мені це не дозволили.
1304,hodit,гл.,сов.,,B1,Базовые глаголы,бросить,кинути,to throw,,throwing,https://loremflickr.com/640/480/throwing,Hoď to do koše.,Брось это в мусорку.,Кинь це в смітник.,Hodil mi klíče.,Он бросил мне ключи.,Він кинув мені ключі.
1305,kontrolovat,гл.,несов.,,B1,Базовые глаголы,проверять,перевіряти,to check,,checking,https://loremflickr.com/640/480/checking,Kontroluji si e-maily.,Я проверяю почту.,Я перевіряю пошту.,Revizor kontroluje jízdenky.,Контролёр проверяет билеты.,Контролер перевіряє квитки.
1306,nabídnout,гл.,сов.,,B1,Базовые глаголы,"предложить (услугу, вещь)",запропонувати,to offer,,,,Nabídli mi práci.,Мне предложили работу.,Мені запропонували роботу.,Nabídnu ti kávu.,Я предложу тебе кофе.,Я запропоную тобі каву.
1307,najmout,гл.,сов.,,B1,Базовые глаголы,нанять; снять (жильё),найняти,to hire; to rent,,,,Najal jsem si byt.,Я снял квартиру.,Я орендував квартиру.,Firma najala nové lidi.,Фирма наняла новых людей.,Фірма найняла нових людей.
1308,navrhnout,гл.,сов.,,B1,Базовые глаголы,предложить,запропонувати,to suggest; to propose,,,,Navrhuji jiné řešení.,Я предлагаю другое решение.,Я пропоную інше рішення.,Navrhl schůzku na pátek.,Он предложил встречу в пятницу.,Він запропонував зустріч у п'ятницю.
1309,obsahovat,гл.,несов.,,B1,Базовые глаголы,содержать,містити,to contain,,,,Nápoj obsahuje cukr.,Напиток содержит сахар.,Напій містить цукор.,Co ten dokument obsahuje?,Что содержит этот документ?,Що містить цей документ?
1310,očekávat,гл.,несов.,,B1,Базовые глаголы,ожидать,очікувати,to expect,,,,Očekávám odpověď.,Я ожидаю ответа.,Я очікую на відповідь.,Očekáváme hosty.,Мы ожидаем гостей.,Ми очікуємо гостей.
1311,odmítnout,гл.,сов.,,B1,Базовые глаголы,отказать; отказаться,відмовити,to refuse; to reject,,,,Odmítl jsem tu nabídku.,Я отказался от этого предложения.,Я відмовився від цієї пропозиції.,Nemůžu to odmítnout.,Я не могу отказаться.,Я не можу відмовитися.
1312,ohlásit,гл.,сов.,,B1,Базовые глаголы,заявить; сообщить официально,заявити,to report officially,,,,Musím to ohlásit na úřadě.,Мне нужно заявить об этом в учреждении.,Мені треба заявити про це в установі.,Ohlásil jsem změnu adresy.,Я заявил о смене адреса.,Я заявив про зміну адреси.
1313,opustit,гл.,сов.,,B1,Базовые глаголы,покинуть,покинути,to leave; to abandon,,,,Opustil rodné město.,Он покинул родной город.,Він покинув рідне місто.,Neopustím tě.,Я тебя не покину.,Я тебе не покину.
1314,otočit se,гл.,сов.,,B1,Базовые глаголы,повернуться,обернутися,to turn around,,,,Otočil se a odešel.,Он повернулся и ушёл.,Він обернувся й пішов.,Otoč se doleva.,Повернись налево.,Повернись ліворуч.
1315,oznámit,гл.,сов.,,B1,Базовые глаголы,сообщить; объявить,повідомити,to announce,,,,Oznámil nám dobrou zprávu.,Он сообщил нам хорошую новость.,Він повідомив нам гарну новину.,Musím to oznámit šéfovi.,Мне нужно сообщить это начальнику.,Мені треба повідомити це начальнику.
1316,oženit se,гл.,сов.,,B1,Базовые глаголы,жениться,одружитися,to get married (man),,"wedding,groom","https://loremflickr.com/640/480/wedding,groom",Oženil se loni.,Он женился в прошлом году.,Він одружився торік.,Chce se oženit.,Он хочет жениться.,Він хоче одружитися.
1317,patřit,гл.,несов.,,B1,Базовые глаголы,принадлежать,належати,to belong,,,,Ta kniha patří mně.,Эта книга принадлежит мне.,Ця книга належить мені.,Patří to sem.,Это относится сюда.,Це належить сюди.
1318,podařit se,гл.,сов.,,B1,Базовые глаголы,удаться,вдатися,to succeed; to manage,,,,Podařilo se mi to.,Мне это удалось.,Мені це вдалося.,Nepodařilo se nám přijít.,Нам не удалось прийти.,Нам не вдалося прийти.
1319,pokračovat,гл.,несов.,,B1,Базовые глаголы,продолжать,продовжувати,to continue,,,,Pokračujeme zítra.,Мы продолжим завтра.,Ми продовжимо завтра.,"Pokračuj, prosím.","Продолжай, пожалуйста.","Продовжуй, будь ласка."
1320,popsat,гл.,сов.,,B1,Базовые глаголы,описать,описати,to describe,,,,Popiš mi ten byt.,Опиши мне эту квартиру.,Опиши мені цю квартиру.,Popsal jsem situaci policii.,Я описал ситуацию полиции.,Я описав ситуацію поліції.
1321,postavit,гл.,сов.,,B1,Базовые глаголы,построить; поставить,побудувати; поставити,to build; to put,,,,Postavili nový dům.,Построили новый дом.,Побудували новий будинок.,Postav to na stůl.,Поставь это на стол.,Постав це на стіл.
1322,požádat,гл.,сов.,,B1,Базовые глаголы,попросить,попросити,to ask; to request,,,,Požádal jsem o pomoc.,Я попросил о помощи.,Я попросив про допомогу.,Požádal o ruku.,Он сделал предложение.,Він освідчився.
1323,překvapit,гл.,сов.,,B1,Базовые глаголы,удивить,здивувати,to surprise,,surprise,https://loremflickr.com/640/480/surprise,Překvapil jsi mě.,Ты меня удивил.,Ти мене здивував.,Chci ji překvapit.,Я хочу её удивить.,Я хочу її здивувати.
1324,přemýšlet,гл.,несов.,,B1,Базовые глаголы,размышлять,розмірковувати,to think; to ponder,,thinking,https://loremflickr.com/640/480/thinking,Přemýšlím o tom.,Я об этом думаю.,Я про це думаю.,Přemýšlel jsem celou noc.,Я размышлял всю ночь.,Я розмірковував усю ніч.
1325,přijmout,гл.,сов.,,B1,Базовые глаголы,принять,прийняти,to accept,,,,Přijal jsem tu nabídku.,Я принял это предложение.,Я прийняв цю пропозицію.,Přijali mě do práce.,Меня приняли на работу.,Мене прийняли на роботу.
1326,rozdělit,гл.,сов.,,B1,Базовые глаголы,разделить,розділити,to divide; to split,,,,Rozdělíme si to napůl.,Разделим это пополам.,Розділимо це навпіл.,Rozdělil práci mezi nás.,Он разделил работу между нами.,Він розділив роботу між нами.
1327,rozhodnout se,гл.,сов.,,B1,Базовые глаголы,решить; принять решение,вирішити,to decide,,decision,https://loremflickr.com/640/480/decision,Rozhodl jsem se zůstat.,Я решил остаться.,Я вирішив залишитися.,Musíš se rozhodnout.,Ты должен решить.,Ти маєш вирішити.
1328,řešit,гл.,несов.,,B1,Базовые глаголы,решать (проблему),вирішувати,to solve; to deal with,,,,Řeším jeden problém.,Я решаю одну проблему.,Я вирішую одну проблему.,Neřeš to teď.,Не решай это сейчас.,Не вирішуй це зараз.
1329,schovat,гл.,сов.,,B1,Базовые глаголы,спрятать,заховати,to hide,,hiding,https://loremflickr.com/640/480/hiding,Schoval jsem klíče.,Я спрятал ключи.,Я заховав ключі.,Kam jsi to schoval?,Куда ты это спрятал?,Куди ти це заховав?
1330,setkat se,гл.,сов.,,B1,Базовые глаголы,встретиться,зустрітися,to meet,,meeting,https://loremflickr.com/640/480/meeting,Setkal jsem se s ním včera.,Я встретился с ним вчера.,Я зустрівся з ним учора.,Setkáme se v pondělí.,Мы встретимся в понедельник.,Ми зустрінемося в понеділок.
1331,sloužit,гл.,несов.,,B1,Базовые глаголы,служить,служити,to serve,,,,Sloužil v armádě.,Он служил в армии.,Він служив в армії.,K čemu to slouží?,Для чего это служит?,Для чого це слугує?
1332,snažit se,гл.,несов.,,B1,Базовые глаголы,стараться,намагатися,to try; to make an effort,,,,Snažím se mluvit česky.,Я стараюсь говорить по-чешски.,Я намагаюся говорити чеською.,Snaž se víc.,Старайся больше.,Намагайся більше.
1333,snížit,гл.,сов.,,B1,Базовые глаголы,снизить,знизити,to reduce; to lower,,,,Snížili ceny.,Снизили цены.,Знизили ціни.,Musím snížit výdaje.,Мне нужно снизить расходы.,Мені треба знизити витрати.
1334,spadnout,гл.,сов.,,B1,Базовые глаголы,упасть,впасти,to fall,,falling,https://loremflickr.com/640/480/falling,Spadl jsem na ledu.,Я упал на льду.,Я впав на льоду.,Sklenice spadla ze stolu.,Стакан упал со стола.,Склянка впала зі столу.
1335,spojit,гл.,сов.,,B1,Базовые глаголы,соединить,з'єднати,to connect; to join,,,,Spoj ty dva kabely.,Соедини эти два кабеля.,З'єднай ці два кабелі.,Spojil jsem se s úřadem.,Я связался с учреждением.,Я зв'язався з установою.
1336,srovnat,гл.,сов.,,B1,Базовые глаголы,сравнить,порівняти,to compare,,,,Srovnej ty dvě nabídky.,Сравни эти два предложения.,Порівняй ці дві пропозиції.,Nedá se to srovnat.,Это несравнимо.,Це незрівнянно.
1337,stavět,гл.,несов.,,B1,Базовые глаголы,строить,будувати,to build,,construction,https://loremflickr.com/640/480/construction,Staví tu nový dům.,Здесь строят новый дом.,Тут будують новий будинок.,Stavíme si dům.,Мы строим себе дом.,Ми будуємо собі будинок.
1338,stihnout,гл.,сов.,,B1,Базовые глаголы,успеть,встигнути,to make it in time,,,,Stihl jsem vlak.,Я успел на поезд.,Я встиг на потяг.,Nestihnu to do pěti.,Я не успею до пяти.,Я не встигну до п'ятої.
1339,táhnout,гл.,несов.,,B1,Базовые глаголы,тянуть,тягнути,to pull,,pulling,https://loremflickr.com/640/480/pulling,Netahej mě za ruku.,Не тяни меня за руку.,Не тягни мене за руку.,Táhne to sem od okna.,Отсюда дует от окна.,Звідси тягне від вікна.
1340,tlačit,гл.,несов.,,B1,Базовые глаголы,толкать; давить,штовхати; тиснути,to push; to press,,pushing,https://loremflickr.com/640/480/pushing,Netlač na mě.,Не дави на меня.,Не тисни на мене.,"Tlač dveře, ne táhni.","Толкай дверь, не тяни.","Штовхай двері, не тягни."
1341,tvrdit,гл.,несов.,,B1,Базовые глаголы,утверждать,стверджувати,to claim; to assert,,,,"Tvrdí, že to nevěděl.","Он утверждает, что не знал.","Він стверджує, що не знав.",Nemůžu to tvrdit jistě.,Я не могу утверждать это точно.,Я не можу стверджувати це напевно.
1342,umožnit,гл.,сов.,,B1,Базовые глаголы,позволить; сделать возможным,уможливити,to enable; to make possible,,,,To mi umožnilo pracovat.,Это позволило мне работать.,Це дало мені змогу працювати.,Vízum mi umožňuje zůstat.,Виза позволяет мне остаться.,Віза дає мені змогу залишитися.
1343,utratit,гл.,сов.,,B1,Базовые глаголы,потратить,витратити,to spend (money),,,,Utratil jsem všechny peníze.,Я потратил все деньги.,Я витратив усі гроші.,Utratili jsme moc.,Мы потратили слишком много.,Ми витратили забагато.
1344,vdát se,гл.,сов.,,B1,Базовые глаголы,выйти замуж,вийти заміж,to get married (woman),,"wedding,bride","https://loremflickr.com/640/480/wedding,bride",Vdala se loni.,Она вышла замуж в прошлом году.,Вона вийшла заміж торік.,Chce se vdát.,Она хочет выйти замуж.,Вона хоче вийти заміж.
1345,všimnout si,гл.,сов.,,B1,Базовые глаголы,заметить,помітити,to notice,,,,Všiml jsem si chyby.,Я заметил ошибку.,Я помітив помилку.,Nevšiml jsem si tě.,Я тебя не заметил.,Я тебе не помітив.
1346,vydělávat,гл.,несов.,,B1,Базовые глаголы,зарабатывать,заробляти,to earn,,"earning,money","https://loremflickr.com/640/480/earning,money",Vydělávám dost peněz.,Я зарабатываю достаточно денег.,Я заробляю достатньо грошей.,Kolik vyděláváš?,Сколько ты зарабатываешь?,Скільки ти заробляєш?
1347,vydržet,гл.,сов.,,B1,Базовые глаголы,выдержать,витримати,to endure; to hold out,,,,Vydržel jsem to.,Я это выдержал.,Я це витримав.,Vydrž ještě chvíli.,Потерпи ещё немного.,Потерпи ще трохи.
1348,vyměnit,гл.,сов.,,B1,Базовые глаголы,обменять,обміняти,to exchange,,,,Vyměnil jsem peníze.,Я обменял деньги.,Я обміняв гроші.,Můžu to vyměnit za jinou velikost?,Можно обменять на другой размер?,Чи можна обміняти на інший розмір?
1349,vyplnit,гл.,сов.,,B1,Базовые глаголы,заполнить,заповнити,to fill in,,"filling,form","https://loremflickr.com/640/480/filling,form",Vyplňte tento formulář.,Заполните эту анкету.,Заповніть цю анкету.,Vyplnil jsem žádost.,Я заполнил заявление.,Я заповнив заяву.
1350,vyřešit,гл.,сов.,,B1,Базовые глаголы,решить (проблему),вирішити,to solve,,,,Vyřešil jsem ten problém.,Я решил эту проблему.,Я вирішив цю проблему.,Musíme to vyřešit dnes.,Мы должны решить это сегодня.,Ми маємо вирішити це сьогодні.
1351,zabránit,гл.,сов.,,B1,Базовые глаголы,предотвратить,запобігти,to prevent,,,,Chceme tomu zabránit.,Мы хотим это предотвратить.,Ми хочемо цьому запобігти.,Nikdo tomu nezabránil.,Никто этого не предотвратил.,Ніхто цьому не запобіг.
1352,zabývat se,гл.,несов.,,B1,Базовые глаголы,заниматься,займатися,to deal with; to work on,,,,Zabývám se programováním.,Я занимаюсь программированием.,Я займаюся програмуванням.,Čím se zabýváte?,Чем вы занимаетесь?,Чим ви займаєтеся?
1353,zajistit,гл.,сов.,,B1,Базовые глаголы,обеспечить,забезпечити,to ensure; to arrange,,,,Zajistil jsem ubytování.,Я обеспечил проживание.,Я забезпечив проживання.,Firma zajistí dopravu.,Фирма обеспечит транспорт.,Фірма забезпечить транспорт.
1354,zajímat se,гл.,несов.,,B1,Базовые глаголы,интересоваться,цікавитися,to be interested in,,,,Zajímám se o historii.,Я интересуюсь историей.,Я цікавлюся історією.,O co se zajímáš?,Чем ты интересуешься?,Чим ти цікавишся?
1355,zakázat,гл.,сов.,,B1,Базовые глаголы,запретить,заборонити,to forbid; to ban,,,,Zakázali tam parkovat.,Там запретили парковаться.,Там заборонили паркуватися.,Lékař mi zakázal alkohol.,Врач запретил мне алкоголь.,Лікар заборонив мені алкоголь.
1356,zapsat,гл.,сов.,,B1,Базовые глаголы,записать,записати,to write down,,,,Zapsal jsem si adresu.,Я записал адрес.,Я записав адресу.,"Zapiš si to, ať nezapomeneš.","Запиши, чтобы не забыть.","Запиши, щоб не забути."
1357,záviset,гл.,несов.,,B1,Базовые глаголы,зависеть,залежати,to depend,,,,To záleží na tobě.,Это зависит от тебя.,Це залежить від тебе.,Cena závisí na velikosti.,Цена зависит от размера.,Ціна залежить від розміру.
1358,zdát se,гл.,несов.,,B1,Базовые глаголы,казаться; сниться,здаватися; снитися,to seem; to dream,,,,Zdá se mi to divné.,Мне это кажется странным.,Мені це здається дивним.,Zdálo se mi o domově.,Мне снился дом.,Мені снився дім.
1359,zemřít,гл.,сов.,,B1,Базовые глаголы,умереть,померти,to die,,,,Dědeček zemřel loni.,Дедушка умер в прошлом году.,Дідусь помер торік.,Zemřel ve věku osmdesáti let.,Он умер в возрасте восьмидесяти лет.,Він помер у віці вісімдесяти років.
1360,zhoršit,гл.,сов.,,B1,Базовые глаголы,ухудшить,погіршити,to worsen,,,,Počasí se zhoršilo.,Погода ухудшилась.,Погода погіршилася.,Situace se zhoršuje.,Ситуация ухудшается.,Ситуація погіршується.
1361,zkontrolovat,гл.,сов.,,B1,Базовые глаголы,проверить,перевірити,to check,,checking,https://loremflickr.com/640/480/checking,Zkontroluj ten dokument.,Проверь этот документ.,Перевір цей документ.,Zkontroloval jsem si e-maily.,Я проверил почту.,Я перевірив пошту.
1362,zlepšit,гл.,сов.,,B1,Базовые глаголы,улучшить,покращити,to improve,,,,Chci zlepšit svou češtinu.,Я хочу улучшить свой чешский.,Я хочу покращити свою чеську.,Zlepšil jsem výsledky.,Я улучшил результаты.,Я покращив результати.
1363,zmeškat,гл.,сов.,,B1,Базовые глаголы,опоздать; пропустить,запізнитися; пропустити,to miss; to be late for,,,,Zmeškal jsem vlak.,Я опоздал на поезд.,Я запізнився на потяг.,Nezmeškej schůzku.,Не пропусти встречу.,Не пропусти зустріч.
1364,způsobit,гл.,сов.,,B1,Базовые глаголы,вызвать; причинить,спричинити,to cause,,,,Způsobil nehodu.,Он стал причиной аварии.,Він спричинив аварію.,Co to způsobilo?,Что это вызвало?,Що це спричинило?
1365,zvednout,гл.,сов.,,B1,Базовые глаголы,поднять,підняти,to lift; to pick up,,lifting,https://loremflickr.com/640/480/lifting,Zvedni to ze země.,Подними это с пола.,Підніми це з підлоги.,Nezvedá telefon.,Он не берёт трубку.,Він не бере слухавку.
1366,zvládnout,гл.,сов.,,B1,Базовые глаголы,справиться,впоратися,to manage; to cope,,,,Zvládnu to sám.,Я справлюсь сам.,Я впораюся сам.,Zvládl jsi zkoušku?,Ты сдал экзамен?,Ти склав іспит?
1367,zvyknout si,гл.,сов.,,B1,Базовые глаголы,привыкнуть,звикнути,to get used to,,,,Zvykl jsem si na Prahu.,Я привык к Праге.,Я звик до Праги.,Zvykneš si na to.,Ты к этому привыкнешь.,Ти до цього звикнеш.
1368,zvýšit,гл.,сов.,,B1,Базовые глаголы,повысить,підвищити,to raise; to increase,,,,Zvýšili nám nájem.,Нам повысили аренду.,Нам підвищили оренду.,Chci zvýšit plat.,Я хочу повысить зарплату.,Я хочу підвищити зарплату.
1369,kudrnatý,прил.,,,B1,Внешность,кудрявый,кучерявий,curly,,curlyhair,https://loremflickr.com/640/480/curlyhair,Má kudrnaté vlasy.,У неё кудрявые волосы.,У неї кучеряве волосся.,Je kudrnatý po otci.,Он кудрявый в отца.,Він кучерявий у батька.
1370,postava,сущ.,ж.р.,postavy,B1,Внешность,фигура; телосложение,постать; фігура,figure; build,,"figure,body","https://loremflickr.com/640/480/figure,body",Má sportovní postavu.,У него спортивная фигура.,У нього спортивна постать.,Postavou je jako bratr.,Телосложением он как брат.,Статурою він як брат.
1371,vousy,сущ.,мн.ч.,vousů,B1,Внешность,борода; усы,борода; вуса,beard; moustache,,beard,https://loremflickr.com/640/480/beard,Nechal si narůst vousy.,Он отрастил бороду.,Він відростив бороду.,Oholil si vousy.,Он сбрил бороду.,Він поголив бороду.
1372,budoucnost,сущ.,ж.р.,budoucnosti,B1,Время и дата,будущее,майбутнє,future,,future,https://loremflickr.com/640/480/future,"Nevím, co bude v budoucnosti.","Я не знаю, что будет в будущем.","Я не знаю, що буде в майбутньому.",Plánuji svoji budoucnost.,Я планирую своё будущее.,Я планую своє майбутнє.
1373,letošní,прил.,,,B1,Время и дата,нынешнего года,цьогорічний,this year's,,,,Letošní zima byla teplá.,Нынешняя зима была тёплой.,Цьогорічна зима була теплою.,Letošní úroda je dobrá.,Урожай этого года хороший.,Цьогорічний урожай добрий.
1374,minulost,сущ.,ж.р.,minulosti,B1,Время и дата,прошлое,минуле,past,,past,https://loremflickr.com/640/480/past,V minulosti jsem tam pracoval.,В прошлом я там работал.,У минулому я там працював.,Nemyslím na minulost.,Я не думаю о прошлом.,Я не думаю про минуле.
1375,naposledy,нареч.,,,B1,Время и дата,в последний раз,востаннє,last time,,,,Naposledy jsem ho viděl loni.,Последний раз я видел его в прошлом году.,Востаннє я бачив його торік.,Říkám ti to naposledy.,Говорю тебе в последний раз.,Кажу тобі востаннє.
1376,občas,нареч.,,,B1,Время и дата,время от времени,час від часу,occasionally,,,,Občas si dám pivo.,Иногда я выпиваю пиво.,Час від часу я випиваю пиво.,Občas se vidíme.,Иногда мы видимся.,Іноді ми бачимося.
1377,pravidelně,нареч.,,,B1,Время и дата,регулярно,регулярно,regularly,,,,Chodím tam pravidelně.,Я хожу туда регулярно.,Я ходжу туди регулярно.,Beru léky pravidelně.,Я принимаю лекарства регулярно.,Я приймаю ліки регулярно.
1378,předchozí,прил.,,,B1,Время и дата,предыдущий,попередній,previous,,,,V předchozí práci jsem byl rok.,На предыдущей работе я был год.,На попередній роботі я був рік.,Předchozí majitel byl Čech.,Предыдущий владелец был чех.,Попередній власник був чех.
1379,přítomnost,сущ.,ж.р.,přítomnosti,B1,Время и дата,настоящее; присутствие,теперішнє; присутність,present; presence,,,,Žij v přítomnosti.,Живи настоящим.,Живи теперішнім.,Řekl to v mé přítomnosti.,Он сказал это в моём присутствии.,Він сказав це в моїй присутності.
1380,století,сущ.,ср.р.,století,B1,Время и дата,век; столетие,століття,century,,century,https://loremflickr.com/640/480/century,Je to budova z 19. století.,Это здание 19 века.,Це будівля XIX століття.,Žijeme ve 21. století.,Мы живём в 21 веке.,Ми живемо у XXI столітті.
1381,kruhový objezd,сущ.,м.р.,kruhového objezdu,B1,Город и ориентирование,круговое движение,кругове перехрестя,roundabout,,roundabout,https://loremflickr.com/640/480/roundabout,Na kruhovém objezdu jeď doprava.,На круговом движении езжай направо.,На круговому перехресті їдь праворуч.,Před kruhovým objezdem zpomal.,Перед круговым сбавь скорость.,Перед круговим сповільни.
1382,městská část,сущ.,ж.р.,městské části,B1,Город и ориентирование,городской район,міський район,city district,,citydistrict,https://loremflickr.com/640/480/citydistrict,Bydlím v městské části Praha 4.,Я живу в районе Прага 4.,Я живу в районі Прага 4.,Městská část to zaplatí.,Городской район это оплатит.,Міський район це оплатить.
1383,podchod,сущ.,м.р.,podchodu,B1,Город и ориентирование,подземный переход,підземний перехід,underpass,,underpass,https://loremflickr.com/640/480/underpass,Přejdi podchodem.,Перейди по подземному переходу.,Перейди підземним переходом.,V podchodu je obchod.,В переходе есть магазин.,У переході є магазин.
1384,schránka,сущ.,ж.р.,schránky,B1,Город и ориентирование,почтовый ящик,поштова скринька,letterbox; mailbox,,mailbox,https://loremflickr.com/640/480/mailbox,Podívej se do schránky.,Посмотри в почтовый ящик.,Подивись у поштову скриньку.,Schránka je plná reklam.,Ящик полон рекламы.,Скринька повна реклами.
1385,sídliště,сущ.,ср.р.,sídliště,B1,Город и ориентирование,спальный район,спальний район,housing estate,,housingestate,https://loremflickr.com/640/480/housingestate,Bydlím na sídlišti.,Я живу в спальном районе.,Я живу в спальному районі.,Sídliště je z 80. let.,Район построен в 80-е.,Район побудований у 80-ті.
1386,sousedství,сущ.,ср.р.,sousedství,B1,Город и ориентирование,соседство; район,сусідство,neighbourhood,,neighbourhood,https://loremflickr.com/640/480/neighbourhood,V sousedství je škola.,По соседству школа.,По сусідству школа.,Máme dobré sousedství.,У нас хорошее соседство.,У нас гарне сусідство.
1387,dodržet,гл.,сов.,,B1,Действия и процедуры,соблюсти,дотримати,to keep; to observe,,,,Musíme dodržet termín.,Мы должны соблюсти срок.,Ми маємо дотримати терміну.,Dodržel jsem slib.,Я сдержал обещание.,Я дотримав обіцянки.
1388,doručit,гл.,сов.,,B1,Действия и процедуры,доставить,доставити,to deliver,,delivery,https://loremflickr.com/640/480/delivery,Balík doručí zítra.,Посылку доставят завтра.,Посилку доставлять завтра.,Doručili mi dopis.,Мне доставили письмо.,Мені доставили листа.
1389,odhlásit se,гл.,сов.,,B1,Действия и процедуры,выписаться; выйти из аккаунта,виписатися; вийти,to log out; to deregister,,,,Odhlásil jsem se z kurzu.,Я отписался от курса.,Я відписався від курсу.,Nezapomeň se odhlásit.,Не забудь выйти из аккаунта.,Не забудь вийти з облікового запису.
1390,ověřit,гл.,сов.,,B1,Действия и процедуры,проверить; заверить,перевірити; засвідчити,to verify; to certify,,,,Musím ověřit podpis u notáře.,Мне нужно заверить подпись у нотариуса.,Мені треба засвідчити підпис у нотаріуса.,Ověřil jsem si tu informaci.,Я проверил эту информацию.,Я перевірив цю інформацію.
1391,porušit,гл.,сов.,,B1,Действия и процедуры,нарушить,порушити,to break; to violate,,,,Porušil jsi pravidla.,Ты нарушил правила.,Ти порушив правила.,Neporušuj smlouvu.,Не нарушай договор.,Не порушуй договір.
1392,potvrdit,гл.,сов.,,B1,Действия и процедуры,подтвердить,підтвердити,to confirm,,,,Potvrďte prosím rezervaci.,"Подтвердите, пожалуйста, бронь.","Підтвердьте, будь ласка, бронювання.",Potvrdil jsem účast.,Я подтвердил участие.,Я підтвердив участь.
1393,přihlásit se,гл.,сов.,,B1,Действия и процедуры,зарегистрироваться; войти,зареєструватися; увійти,to register; to log in,,,,Přihlásil jsem se na kurz.,Я записался на курс.,Я записався на курс.,Musíš se přihlásit do systému.,Тебе нужно войти в систему.,Тобі треба увійти в систему.
1394,splnit,гл.,сов.,,B1,Действия и процедуры,выполнить,виконати,to fulfil,,,,Splnil jsem všechny podmínky.,Я выполнил все условия.,Я виконав усі умови.,Splň si svůj sen.,Исполни свою мечту.,Здійсни свою мрію.
1395,stěžovat si,гл.,несов.,,B1,Действия и процедуры,жаловаться,скаржитися,to complain,,complaining,https://loremflickr.com/640/480/complaining,Stěžuji si na hluk.,Я жалуюсь на шум.,Я скаржуся на шум.,Nestěžuj si.,Не жалуйся.,Не скаржся.
1396,vysvětlovat,гл.,несов.,,B1,Действия и процедуры,объяснять,пояснювати,to explain,,explaining,https://loremflickr.com/640/480/explaining,Vysvětluji to už podruhé.,Я объясняю это уже второй раз.,Я пояснюю це вже вдруге.,Učitel vysvětluje gramatiku.,Учитель объясняет грамматику.,Учитель пояснює граматику.
1397,vyzvednout,гл.,сов.,,B1,Действия и процедуры,забрать; получить,забрати,to pick up; to collect,,"pickup,parcel","https://loremflickr.com/640/480/pickup,parcel",Vyzvednu si balík na poště.,Я заберу посылку на почте.,Я заберу посилку на пошті.,Vyzvedni děti ze školky.,Забери детей из садика.,Забери дітей із садка.
1398,zaregistrovat se,гл.,сов.,,B1,Действия и процедуры,зарегистрироваться,зареєструватися,to register,,,,Zaregistroval jsem se online.,Я зарегистрировался онлайн.,Я зареєструвався онлайн.,Musíte se zaregistrovat předem.,Вам нужно зарегистрироваться заранее.,Вам треба зареєструватися заздалегідь.
